,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Omboue,100,GA,1575161112,98,-1.57,9.26,72.16,1.81
1,Bethel,75,US,1575161112,100,60.79,-161.76,26.6,3.36
2,Sabang,95,PH,1575161112,78,13.8,121.11,73.96,9.78
3,Poum,12,MK,1575161112,82,41.28,20.71,33.58,3.18
4,Cape Town,40,ZA,1575160821,72,-33.93,18.42,64.0,18.34
5,Qaanaaq,100,GL,1575161112,84,77.48,-69.36,11.97,8.46
6,Butaritari,47,KI,1575161112,70,3.07,172.79,83.5,1.88
7,Carnarvon,68,ZA,1575161112,68,-30.97,22.13,58.96,15.84
8,Scottsbluff,90,US,1575161105,85,41.87,-103.67,23.0,29.97
9,Victor Harbor,75,AU,1575161112,77,-35.55,138.62,62.01,21.92
10,Yinchuan,41,CN,1575161112,42,38.48,106.21,25.0,1.01
11,Puteyets,100,RU,1575161112,90,65.17,57.09,25.43,12.28
12,Nushki,0,PK,1575161056,40,29.55,66.02,48.07,1.48
13,Mataura,100,NZ,1575161113,91,-46.19,168.86,57.0,5.99
14,Rikitea,83,PF,1575161113,70,-23.12,-134.97,78.51,3.71
15,Plettenberg Bay,58,ZA,1575160982,73,-34.05,23.37,60.08,3.89
16,Ribeira Grande,70,PT,1575161113,91,38.52,-28.7,63.52,11.74
17,Tasiilaq,100,GL,1575161113,57,65.61,-37.64,23.0,6.11
18,Temiscaming,5,CA,1575161113,92,46.72,-79.1,14.0,11.41
19,Ushuaia,75,AR,1575161113,75,-54.81,-68.31,44.6,24.16
20,Fortuna,75,US,1575161113,87,40.6,-124.16,53.01,28.86
21,San Vicente,75,EC,1575161113,88,-0.59,-80.41,77.0,13.87
22,Touros,75,BR,1575161090,78,-5.2,-35.46,77.0,4.7
23,Marsciano,24,IT,1575161116,100,42.91,12.34,46.0,3.36
24,Nagato,75,JP,1575161116,82,34.35,131.14,59.0,16.11
25,Vaini,100,IN,1575161117,88,15.34,74.49,68.0,7.63
26,Cherskiy,100,RU,1575161117,91,68.75,161.3,-3.53,16.89
27,Punta Arenas,75,CL,1575161117,53,-53.16,-70.91,50.0,19.46
28,Lethem,2,GY,1575161117,60,3.38,-59.8,84.7,6.53
29,Puerto Ayora,20,EC,1575161055,73,-0.74,-90.35,75.2,13.87
30,Kodiak,1,US,1575161117,56,39.95,-94.76,46.0,20.8
31,Mahebourg,40,MU,1575161117,73,-20.41,57.7,77.0,13.87
32,Tuktoyaktuk,5,CA,1575161118,83,69.44,-133.03,-5.8,2.24
33,Hilo,75,US,1575161066,73,19.71,-155.08,75.99,12.75
34,Kapaa,75,US,1575161118,65,22.08,-159.32,84.2,17.22
35,Mayo,75,CA,1575161118,85,63.59,-135.9,14.0,1.36
36,Arraial do Cabo,100,BR,1575161118,88,-22.97,-42.02,74.26,11.99
37,Makurdi,86,NG,1575161118,37,7.73,8.54,78.39,1.25
38,Hanmer Springs,100,NZ,1575161118,48,-42.52,172.83,65.39,17.4
39,Aklavik,90,CA,1575161118,92,68.22,-135.01,12.2,3.36
40,Mehamn,6,NO,1575161118,87,71.03,27.85,18.77,21.63
41,Saint-Avertin,90,FR,1575161118,100,47.36,0.74,46.99,8.05
42,Ponta do Sol,100,BR,1575161118,95,-20.63,-46.0,69.58,3.56
43,Tara,75,JP,1575161118,82,33.0,130.15,61.0,18.34
44,Araouane,21,ML,1575161118,14,18.9,-3.53,68.67,8.86
45,Rovaniemi,79,FI,1575161040,84,66.5,25.72,6.8,8.05
46,Kaeo,0,NZ,1575161119,79,-35.1,173.78,78.01,11.21
47,Port Lincoln,90,AU,1575161119,60,-34.72,135.86,64.15,22.62
48,Feijo,75,EC,1575161119,78,-3.63,-79.92,89.6,4.7
49,Zaruma,75,EC,1575161119,78,-3.69,-79.61,75.2,4.7
50,Zhob,0,PK,1575161051,41,31.34,69.45,43.95,0.34
51,Itarema,80,BR,1575161119,82,-2.92,-39.92,78.39,12.15
52,Soledad,90,US,1575161119,71,36.43,-121.33,54.0,19.46
53,Souillac,54,FR,1575161003,100,45.6,-0.6,48.2,10.29
54,Airai,18,TL,1575161119,48,-8.93,125.41,81.12,3.8
55,Albany,20,US,1575160820,58,42.65,-73.75,26.6,5.82
56,Vanimo,20,PG,1575161119,70,-2.67,141.3,83.84,6.91
57,Vao,77,EE,1575161119,79,59.1,26.19,27.14,6.69
58,Lagoa,20,PT,1575161120,100,37.14,-8.45,59.0,6.93
59,Marawi,100,PH,1575161120,78,8.0,124.29,80.01,1.92
60,Yellowknife,90,CA,1575160832,92,62.45,-114.38,15.8,10.29
61,Shache,4,CN,1575160904,76,38.42,77.24,19.74,0.92
62,Yerbogachen,0,RU,1575161120,93,61.28,108.01,-25.19,5.08
63,Ratnagiri,61,IN,1575161120,66,16.98,73.3,72.72,3.47
64,Bredasdorp,78,ZA,1575160995,82,-34.53,20.04,61.0,2.24
65,Turinsk,87,RU,1575161120,71,58.04,63.7,18.48,13.09
66,Mount Gambier,75,AU,1575161120,62,-37.83,140.78,59.0,19.46
67,Port Alfred,65,ZA,1575161120,86,-33.59,26.89,62.01,1.99
68,Matamoros,1,US,1575161121,83,25.87,-97.51,79.0,17.22
69,Bilma,47,NE,1575161121,13,18.69,12.92,67.08,9.19
70,Mar del Plata,69,AR,1575160873,36,-46.43,-67.52,58.41,9.13
71,Hoshcha,47,UA,1575161121,83,50.6,26.67,29.84,11.25
72,Busselton,0,AU,1575161121,26,-33.64,115.35,73.0,12.24
73,Egvekinot,100,RU,1575161121,93,66.32,-179.17,9.18,8.43
74,Yar-Sale,99,RU,1575160913,95,66.83,70.83,13.01,9.69
75,Oyama,75,JP,1575161121,45,36.31,139.8,46.99,3.36
76,Lebu,83,ET,1575161121,87,8.96,38.73,53.19,2.77
77,Tessalit,3,ML,1575161121,13,20.2,1.01,67.57,7.23
78,Kayerkan,21,RU,1575161121,63,69.35,87.76,-9.4,4.47
79,San Patricio,100,PY,1575161122,86,-26.98,-56.83,67.64,15.59
80,Narsaq,100,GL,1575161122,39,60.91,-46.05,48.2,29.97
81,Bluff,0,AU,1575160998,43,-23.58,149.07,84.2,9.28
82,Chapais,90,CA,1575161122,91,49.78,-74.86,1.4,11.41
83,Saint George,40,GR,1575161094,76,39.45,22.34,48.2,3.36
84,Lafiagi,67,NG,1575161122,30,8.85,5.42,77.47,0.96
85,Faanui,4,PF,1575161122,78,-16.48,-151.75,82.22,11.43
86,Kavieng,17,PG,1575161122,63,-2.57,150.8,84.04,1.99
87,Saint-Philippe,1,CA,1575161001,67,45.36,-73.48,21.0,4.7
88,Sheridan,1,US,1575161123,29,39.65,-105.03,34.0,1.59
89,Grindavik,75,IS,1575161123,93,63.84,-22.43,37.4,9.17
90,Tijucas,40,BR,1575161123,83,-27.24,-48.64,75.0,3.36
91,Port Elizabeth,1,US,1575161123,74,39.31,-74.98,41.0,2.24
92,Abnub,0,EG,1575161123,87,27.27,31.15,55.76,11.07
93,Acapulco,75,MX,1575161123,74,16.86,-99.88,84.2,5.82
94,Broken Hill,41,AU,1575161123,44,-31.97,141.45,60.8,17.22
95,Torbay,90,CA,1575160973,100,47.66,-52.73,39.0,12.75
96,Paranavai,41,BR,1575161123,76,-23.07,-52.47,76.48,2.77
97,Chuy,100,UY,1575161124,66,-33.69,-53.46,64.35,8.39
98,Barrow,0,AR,1575161124,55,-38.31,-60.23,50.65,6.31
99,Georgetown,40,GY,1575161124,83,6.8,-58.16,82.4,6.93
100,Atuona,72,PF,1575161124,69,-9.8,-139.03,79.56,12.68
101,Cabedelo,49,BR,1575160943,83,-6.97,-34.84,77.0,3.36
102,Gornyye Klyuchi,20,RU,1575161124,76,45.25,133.5,20.05,9.82
